"RK",TIERS,"PLAYER NAME",TEAM,"POS","BYE WEEK","SOS SEASON","ECR VS. ADP"
"1",1,"Christian McCaffrey",SF,"RB1","9","4 out of 5 stars","+1"
"2",1,"Bijan Robinson",ATL,"RB2","11","4 out of 5 stars","+7"
"3",1,"Jonathan Taylor",IND,"RB3","11","3 out of 5 stars","+7"
"4",1,"Austin Ekeler",LAC,"RB4","5","3 out of 5 stars","0"
"5",1,"Nick Chubb",CLE,"RB5","5","3 out of 5 stars","+10"
"6",2,"Saquon Barkley",NYG,"RB6","13","2 out of 5 stars","+2"
"7",2,"Josh Jacobs",LV,"RB7","13","3 out of 5 stars","+9"
"8",2,"Derrick Henry",TEN,"RB8","7","4 out of 5 stars","+12"
"9",2,"Justin Jefferson",MIN,"WR1","13","3 out of 5 stars","-8"
"10",2,"Tony Pollard",DAL,"RB9","7","3 out of 5 stars","+12"
"11",2,"Travis Kelce",KC,"TE1","10","4 out of 5 stars","-6"
"12",2,"JaMarr Chase",CIN,"WR2","7","4 out of 5 stars","-9"
"13",3,"Tyreek Hill",MIA,"WR3","10","3 out of 5 stars","-6"
"14",3,"Cooper Kupp",LAR,"WR4","10","3 out of 5 stars","-8"
"15",3,"Breece Hall",NYJ,"RB10","7","3 out of 5 stars","+12"
"16",3,"Stefon Diggs",BUF,"WR5","13","2 out of 5 stars","-5"
"17",3,"Rhamondre Stevenson",NE,"RB11","11","2 out of 5 stars","+8"
"18",3,"Mark Andrews",BAL,"TE2","13","4 out of 5 stars","+16"
"19",3,"CeeDee Lamb",DAL,"WR6","7","2 out of 5 stars","-7"
"20",3,"Davante Adams",LV,"WR7","13","2 out of 5 stars","-6"
"21",3,"Travis Etienne Jr.",JAC,"RB12","9","2 out of 5 stars","+9"
"22",3,"A.J. Brown",PHI,"WR8","10","3 out of 5 stars","-9"
"23",3,"Najee Harris",PIT,"RB13","6","3 out of 5 stars","+3"
"24",4,"Kenneth Walker III",SEA,"RB14","5","2 out of 5 stars","+7"
"25",4,"Garrett Wilson",NYJ,"WR9","7","3 out of 5 stars","-4"
"26",4,"Jaylen Waddle",MIA,"WR10","10","3 out of 5 stars","-2"
"27",4,"Amon-Ra St. Brown",DET,"WR11","9","3 out of 5 stars","-9"
"28",5,"Tee Higgins",CIN,"WR12","7","4 out of 5 stars","+1"
"29",5,"Chris Olave",NO,"WR13","11","4 out of 5 stars","+3"
"30",5,"Aaron Jones",GB,"RB15","6","4 out of 5 stars","+12"
"31",5,"J.K. Dobbins",BAL,"RB16","13","3 out of 5 stars","+19"
"32",5,"T.J. Hockenson",MIN,"TE3","13","3 out of 5 stars","+7"
"33",5,"Amari Cooper",CLE,"WR14","5","3 out of 5 stars","+7"
"34",5,"DeVonta Smith",PHI,"WR15","10","3 out of 5 stars","-6"
"35",5,"Deebo Samuel",SF,"WR16","9","3 out of 5 stars","+2"
"36",5,"Miles Sanders",CAR,"RB17","7","4 out of 5 stars","+16"
"37",5,"Patrick Mahomes II",KC,"QB1","10","3 out of 5 stars","-18"
"38",5,"DK Metcalf",SEA,"WR17","5","3 out of 5 stars","-3"
"39",5,"Josh Allen",BUF,"QB2","13","3 out of 5 stars","-22"
"40",5,"Jahmyr Gibbs",DET,"RB18","9","5 out of 5 stars","-4"
"41",5,"Joe Mixon",CIN,"RB19","7","3 out of 5 stars","+5"
"42",5,"George Kittle",SF,"TE4","9","3 out of 5 stars","+13"
"43",5,"DJ Moore",CHI,"WR18","13","3 out of 5 stars","+10"
"44",5,"Jalen Hurts",PHI,"QB3","10","3 out of 5 stars","-21"
"45",5,"Cam Akers",LAR,"RB20","10","3 out of 5 stars","+12"
"46",6,"Keenan Allen",LAC,"WR19","5","3 out of 5 stars","-2"
"47",6,"Terry McLaurin",WAS,"WR20","14","3 out of 5 stars","+2"
"48",6,"Dameon Pierce",HOU,"RB21","7","3 out of 5 stars","-1"
"49",6,"Christian Watson",GB,"WR21","6","3 out of 5 stars","+15"
"50",6,"Jerry Jeudy",DEN,"WR22","9","2 out of 5 stars","+9"
"51",6,"Calvin Ridley",JAC,"WR23","9","4 out of 5 stars","0"
"52",6,"Kyle Pitts",ATL,"TE5","11","3 out of 5 stars","+14"
"53",6,"Lamar Jackson",BAL,"QB4","13","3 out of 5 stars","-15"
"54",6,"Drake London",ATL,"WR24","11","4 out of 5 stars","+7"
"55",6,"James Conner",ARI,"RB22","14","3 out of 5 stars","+12"
"56",6,"Joe Burrow",CIN,"QB5","7","3 out of 5 stars","-23"
"57",6,"Mike Williams",LAC,"WR25","5","3 out of 5 stars","+6"
"58",6,"Brandon Aiyuk",SF,"WR26","9","3 out of 5 stars","+16"
"59",6,"Dallas Goedert",PHI,"TE6","10","2 out of 5 stars","+10"
"60",6,"Isiah Pacheco",KC,"RB23","10","4 out of 5 stars","+10"
"61",6,"Tyler Lockett",SEA,"WR27","5","3 out of 5 stars","+7"
"62",7,"Alexander Mattison",MIN,"RB24","13","5 out of 5 stars","+18"
"63",7,"Chris Godwin",TB,"WR28","5","4 out of 5 stars","-3"
"64",7,"Christian Kirk",JAC,"WR29","9","4 out of 5 stars","+1"
"65",7,"Justin Fields",CHI,"QB6","13","5 out of 5 stars","-22"
"66",7,"DeAndre Hopkins",FA,"WR30","-","-","-18"
"67",7,"Mike Evans",TB,"WR31","5","4 out of 5 stars","+5"
"68",7,"David Montgomery",DET,"RB25","9","5 out of 5 stars","+8"
"69",7,"Darren Waller",NYG,"TE7","13","1 out of 5 stars","+9"
"70",7,"Justin Herbert",LAC,"QB7","5","3 out of 5 stars","-25"
"71",7,"DeAndre Swift",PHI,"RB26","10","1 out of 5 stars","-13"
"72",7,"Dalvin Cook",FA,"RB27","-","-","-31"
"73",7,"Rachaad White",TB,"RB28","5","3 out of 5 stars","-11"
"74",7,"Michael Pittman Jr.",IND,"WR32","11","4 out of 5 stars","-18"
"75",7,"Trevor Lawrence",JAC,"QB8","9","3 out of 5 stars","-21"
"76",7,"Treylon Burks",TEN,"WR33","7","3 out of 5 stars","+7"
"77",7,"Marquise Brown",ARI,"WR34","14","3 out of 5 stars","+5"
"78",7,"Diontae Johnson",PIT,"WR35","6","3 out of 5 stars","-3"
"79",7,"Jahan Dotson",WAS,"WR36","14","3 out of 5 stars","+16"
"80",7,"Brian Robinson Jr.",WAS,"RB29","14","3 out of 5 stars","+6"
"81",7,"George Pickens",PIT,"WR37","6","3 out of 5 stars","-2"
"82",7,"Javonte Williams",DEN,"RB30","9","4 out of 5 stars","-11"
"83",8,"Alvin Kamara",NO,"RB31","11","4 out of 5 stars","+5"
"84",8,"Jordan Addison",MIN,"WR38","13","3 out of 5 stars","+9"
"85",8,"Gabe Davis",BUF,"WR39","13","2 out of 5 stars","+14"
"86",8,"Khalil Herbert",CHI,"RB32","13","5 out of 5 stars","+14"
"87",8,"Pat Freiermuth",PIT,"TE8","6","4 out of 5 stars","+11"
"88",8,"James Cook",BUF,"RB33","13","2 out of 5 stars","-7"
"89",8,"Kadarius Toney",KC,"WR40","10","2 out of 5 stars","+3"
"90",8,"Dak Prescott",DAL,"QB9","7","2 out of 5 stars","-13"
"91",8,"Deshaun Watson",CLE,"QB10","5","2 out of 5 stars","-18"
"92",8,"Jaxon Smith-Njigba",SEA,"WR41","5","3 out of 5 stars","-3"
"93",8,"AJ Dillon",GB,"RB34","6","4 out of 5 stars","-9"
"94",8,"Evan Engram",JAC,"TE9","9","2 out of 5 stars","-4"
"95",8,"Rashaad Penny",PHI,"RB35","10","1 out of 5 stars","+15"
"96",8,"Courtland Sutton",DEN,"WR42","9","2 out of 5 stars","-2"
"97",8,"David Njoku",CLE,"TE10","5","3 out of 5 stars","+9"
"98",8,"Jamaal Williams",NO,"RB36","11","4 out of 5 stars","-1"
"99",8,"Tua Tagovailoa",MIA,"QB11","10","2 out of 5 stars","-8"
"100",8,"Brandin Cooks",DAL,"WR43","7","2 out of 5 stars","+1"
"101",8,"Quentin Johnston",LAC,"WR44","5","3 out of 5 stars","+18"
"102",8,"Rashod Bateman",BAL,"WR45","13","3 out of 5 stars","+15"
"103",8,"Daniel Jones",NYG,"QB12","13","1 out of 5 stars","-18"
"104",8,"Damien Harris",BUF,"RB37","13","2 out of 5 stars","+11"
"105",8,"Kirk Cousins",MIN,"QB13","13","4 out of 5 stars","-18"
"106",8,"Geno Smith",SEA,"QB14","5","2 out of 5 stars","-4"
"107",8,"Chigoziem Okonkwo",TEN,"TE11","7","3 out of 5 stars","+15"
"108",8,"Antonio Gibson",WAS,"RB38","14","3 out of 5 stars","-4"
"109",8,"Aaron Rodgers",NYJ,"QB15","7","2 out of 5 stars","-6"
"110",8,"Samaje Perine",DEN,"RB39","9","4 out of 5 stars","-5"
"111",9,"JuJu Smith-Schuster",NE,"WR46","11","2 out of 5 stars","-3"
"112",9,"Cole Kmet",CHI,"TE12","13","4 out of 5 stars","+13"
"113",9,"Jakobi Meyers",LV,"WR47","13","2 out of 5 stars","+17"
"114",9,"Elijah Mitchell",SF,"RB40","9","4 out of 5 stars","+10"
"115",9,"Jared Goff",DET,"QB16","9","4 out of 5 stars","-19"
"116",9,"Dalton Schultz",HOU,"TE13","7","3 out of 5 stars","0"
"117",9,"Jameson Williams",DET,"WR48","9","3 out of 5 stars","-4"
"118",9,"Russell Wilson",DEN,"QB17","9","4 out of 5 stars","-9"
"119",9,"Tyler Allgeier",ATL,"RB41","11","4 out of 5 stars","+4"
"120",9,"Elijah Moore",CLE,"WR49","5","3 out of 5 stars","-2"
"121",9,"Greg Dulcich",DEN,"TE14","9","4 out of 5 stars","+15"
"122",9,"Zach Charbonnet",SEA,"RB42","5","2 out of 5 stars","-15"
"123",9,"Michael Thomas",NO,"WR50","11","4 out of 5 stars","-11"
"124",9,"Jeff Wilson Jr.",MIA,"RB43","10","1 out of 5 stars","+42"
"125",9,"Allen Lazard",NYJ,"WR51","7","3 out of 5 stars","+3"
"126",9,"DOnta Foreman",CHI,"RB44","13","5 out of 5 stars","0"
"127",9,"Anthony Richardson",IND,"QB18","11","4 out of 5 stars","-13"
"128",9,"Zay Flowers",BAL,"WR52","13","3 out of 5 stars","+4"
"129",9,"Darnell Mooney",CHI,"WR53","13","3 out of 5 stars","+8"
"130",9,"Raheem Mostert",MIA,"RB45","10","1 out of 5 stars","+20"
"131",9,"Devin Singletary",HOU,"RB46","7","3 out of 5 stars","+16"
"132",9,"Nico Collins",HOU,"WR54","7","4 out of 5 stars","+29"
"133",9,"Jerick McKinnon",KC,"RB47","10","4 out of 5 stars","-4"
"134",9,"Derek Carr",NO,"QB19","11","5 out of 5 stars","-14"
"135",9,"Matthew Stafford",LAR,"QB20","10","2 out of 5 stars","-8"
"136",9,"Tyler Higbee",LAR,"TE15","10","2 out of 5 stars","-2"
"137",9,"DJ Chark Jr.",CAR,"WR55","7","4 out of 5 stars","+46"
"138",9,"Gerald Everett",LAC,"TE16","5","4 out of 5 stars","+25"
"139",9,"Juwan Johnson",NO,"TE17","11","5 out of 5 stars","+4"
"140",10,"Tyler Boyd",CIN,"WR56","7","4 out of 5 stars","+1"
"141",10,"Taysom Hill",NO,"TE18","11","5 out of 5 stars","+93"
"142",10,"San Francisco 49ers",SF,"DST1","9","1 out of 5 stars","+3"
"143",10,"DeVon Achane",MIA,"RB48","10","1 out of 5 stars","-32"
"144",10,"Odell Beckham Jr.",BAL,"WR57","13","3 out of 5 stars","-23"
"145",10,"Zay Jones",JAC,"WR58","9","4 out of 5 stars","+7"
"146",10,"Dawson Knox",BUF,"TE19","13","3 out of 5 stars","+21"
"147",10,"Donovan Peoples-Jones",CLE,"WR59","5","3 out of 5 stars","+1"
"148",10,"Rondale Moore",ARI,"WR60","14","3 out of 5 stars","-2"
"149",10,"Jordan Love",GB,"QB21","6","5 out of 5 stars","-14"
"150",10,"Buffalo Bills",BUF,"DST2","13","1 out of 5 stars","+24"
"151",10,"Adam Thielen",CAR,"WR61","7","4 out of 5 stars","-18"
"152",10,"Dallas Cowboys",DAL,"DST3","7","2 out of 5 stars","+8"
"153",10,"Jaylen Warren",PIT,"RB49","6","3 out of 5 stars","+19"
"154",10,"Kenneth Gainwell",PHI,"RB50","10","1 out of 5 stars","+3"
"155",10,"Mike Gesicki",NE,"TE20","11","2 out of 5 stars","+13"
"156",10,"Kenny Pickett",PIT,"QB22","6","2 out of 5 stars","-12"
"157",10,"Skyy Moore",KC,"WR62","10","2 out of 5 stars","-8"
"158",10,"Philadelphia Eagles",PHI,"DST4","10","2 out of 5 stars","-5"
"159",10,"Gus Edwards",BAL,"RB51","13","3 out of 5 stars","+49"
"160",10,"Michael Gallup",DAL,"WR63","7","2 out of 5 stars","+24"
"161",10,"New England Patriots",NE,"DST5","11","2 out of 5 stars","+3"
"162",10,"Chuba Hubbard",CAR,"RB52","7","4 out of 5 stars","+17"
"163",10,"Ezekiel Elliott",FA,"RB53","-","-","-21"
